PathType,PathNo,Index,Row_X,Row_Y
SP,1,0,29,3;
SP,1,1,28,3;
SP,1,2,28,4;
SP,1,3,27,4;
SP,1,4,26,4;
SP,1,5,25,4;
SP,1,6,24,4;
SP,1,7,24,5;
SP,1,8,24,6;
SP,1,9,23,6;
SP,1,10,22,6;
SP,1,11,22,5;
SP,1,12,21,5;
SP,1,13,21,4;
SP,1,14,20,4;
SP,1,15,19,4;
SP,1,16,18,4;
SP,1,17,17,4;
SP,1,18,16,4;
SP,1,19,15,4;
SP,1,20,14,4;
SP,1,21,13,4;
SP,1,22,12,4;
SP,1,23,12,3;
SP,1,24,12,2;
SP,1,25,11,2;
SP,1,26,10,2;
SP,1,27,9,2;
SP,1,28,8,2;
SP,1,29,7,2;
SP,1,30,7,3;
SP,1,31,6,3;
SP,1,32,5,3;
SP,1,33,5,4;
SP,1,34,4,4;
SP,1,35,3,4;
SP,1,36,2,4;
SP,1,37,2,3;
SP,1,38,2,2;
SP,1,39,2,1;
SP,1,40,1,1;
SP,1,41,1,0;
SP,1,42,0,0;
